# Samples Generated by Stan
# stan_version_major=2
# stan_version_minor=1
# stan_version_patch=0
# init=random
# seed=385583929
# chain_id=2
# iter=1000
# warmup=500
# save_warmup=1
# thin=1
# refresh=100
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.8
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=10
# sampler_t=NUTS(diag_e)
# diagnostic_file=./diagnostic_file.dat_2.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_divergent__,alpha,beta,p_alpha,p_beta,g_alpha,g_beta
-118.344,1,0.0625,2,0,-6.78151,-1.07804,-30.5161,-6.77974,-17.423,27.3681
-118.344,0,14.3855,-1,1,-6.78151,-1.07804,0.561735,0.0437551,-17.423,27.3681
-118.344,0,2.43117,-1,1,-6.78151,-1.07804,-2.45653,1.75408,-17.423,27.3681
-90.4979,0.619657,0.239791,3,0,-1.73316,-7.07417,-6.81225,2.45145,-9.41338,-11.212
-88.417,0.993624,0.109407,4,0,-1.70102,-6.24932,-0.0094657,-2.45978,8.05205,8.94847
-90.4448,0.980185,0.160123,4,0,2.03036,-8.02537,-0.566005,-0.313129,1.92579,8.91163
-90.248,1,0.248663,0,0,2.01874,-8.04589,-0.276033,-1.09471,1.84447,8.14122
-90.248,0.0301609,0.435874,1,0,2.01874,-8.04589,1.85671,-0.308374,1.84447,8.14122
-89.0988,0.999674,0.0376276,3,0,1.86317,-8.25244,0.952763,1.44239,1.01383,1.07691
-89.3908,0.997326,0.068806,2,0,2.17815,-8.27876,0.522844,-0.566126,1.04132,1.37985
-89.5895,0.977318,0.127534,1,0,2.09231,-8.17149,-0.505937,-0.091748,1.36514,4.2843
-86.6831,0.896534,0.224398,3,0,-3.86162,-4.60315,-2.74292,1.45772,-4.02345,-4.34912
-86.6831,0.00395411,0.307616,0,0,-3.86162,-4.60315,-2.20826,-1.57526,-4.02345,-4.34912
-84.4111,0.99891,0.0257499,5,0,-5.06536,-2.71331,-2.10048,1.34539,-1.44978,-0.759215
-84.4058,0.995338,0.0494705,1,0,-4.95988,-2.68666,-1.03062,-0.259749,1.46931,0.51879
-84.4795,0.997386,0.0936988,2,0,-5.12879,-2.48237,0.396173,0.340165,-0.979172,0.770077
-85.0481,0.964658,0.177643,1,0,-5.2869,-2.2968,0.140795,0.272134,-3.38989,1.77894
-84.7641,0.940652,0.302626,1,0,-5.01155,-2.37813,-0.666514,0.894366,2.86176,2.65714
-84.7641,0.329336,0.476218,0,0,-5.01155,-2.37813,-1.00056,-0.447239,2.86176,2.65714
-88.1604,0.79846,0.118561,1,0,-4.79156,-2.03753,-0.406597,0.623847,12.3672,7.66886
-87.07,0.943902,0.1224,1,0,-4.88869,-2.0461,-1.87379,-1.00189,8.8486,7.02141
-86.6678,1,0.194328,0,0,-5.06475,-1.94998,-1.27181,-0.242025,3.76486,7.58149
-86.6678,0.24267,0.361102,0,0,-5.06475,-1.94998,1.33646,0.951707,3.76486,7.58149
-86.1923,0.999421,0.0735162,1,0,-5.0711,-2.01398,0.208659,1.11264,3.32689,6.5853
-85.3876,1,0.1362,2,0,-5.37868,-2.44503,0.686641,-1.51401,-6.04589,-0.483581
-85.3904,0.990697,0.250196,1,0,-4.82034,-2.5007,-0.650256,-1.01056,7.56133,3.37186
-85.3904,0.0159276,0.443141,0,1,-4.82034,-2.5007,-1.25603,1.95097,7.56133,3.37186
-86.6568,0.987663,0.0503051,2,0,-5.32316,-2.9842,0.525824,0.830251,-8.94052,-5.54574
-84.4865,0.994911,0.0887177,1,0,-4.97888,-2.56122,1.56671,1.72517,2.20425,1.3368
-84.4392,0.970579,0.158126,0,0,-5.12179,-2.59038,-0.771405,-0.169873,-1.674,-0.184113
-84.3945,0.996403,0.261151,1,0,-5.06771,-2.68241,-0.365357,0.284913,-1.21219,-0.516667
-84.3945,0.252978,0.458815,0,0,-5.06771,-2.68241,0.562609,0.639733,-1.21219,-0.516667
-84.9848,0.992498,0.107808,2,0,-4.65751,-3.36299,-0.203797,0.927411,0.191089,-1.18898
-85.6041,0.827935,0.18706,0,0,-4.90414,-3.35189,-0.826363,0.494136,-5.26092,-4.64877
-85.6041,0.474817,0.207976,0,0,-4.90414,-3.35189,-1.46401,-1.27395,-5.26092,-4.64877
-86.2936,0.968272,0.0912109,1,0,-5.03754,-3.3219,-0.0633271,0.706324,-7.42487,-5.9558
-85.4817,1,0.146801,0,0,-4.96469,-3.25503,-0.882728,-0.782296,-5.26559,-4.45225
-86.7528,0.877105,0.254572,0,0,-4.88126,-3.58041,-1.31185,0.421432,-7.73154,-6.73057
-86.7528,0.00575635,0.319212,0,0,-4.88126,-3.58041,-1.41426,0.311822,-7.73154,-6.73057
-85.1813,0.999265,0.0432732,2,0,-4.65257,-3.47658,1.6697,0.953222,-1.52693,-2.34118
-84.7996,0.999982,0.0746299,3,0,-4.71254,-3.1469,-0.271205,0.944298,2.17997,0.0428599
-85.9413,0.89528,0.127879,2,0,-4.9842,-3.32524,-0.452245,-0.513743,-6.48782,-5.37161
-86.6198,0.876752,0.167434,0,0,-5.09231,-3.30543,0.040471,0.653812,-8.1963,-6.3965
-85.9653,1,0.208552,0,0,-5.0229,-3.28231,1.03241,0.674328,-6.70896,-5.40356
-85.1588,1,0.350477,0,0,-4.63644,-3.07639,0.132513,0.258091,5.53631,1.87996
-84.4912,0.356997,0.584593,0,0,-5.15212,-2.55619,0.268816,-0.923072,-2.09822,-0.113674
-84.4155,0.631977,0.203922,1,0,-4.94962,-2.6983,-2.23858,-0.820934,1.6205,0.535369
-84.4254,0.993101,0.139841,1,0,-5.05253,-2.52605,-0.775471,1.16338,0.565972,0.978223
-84.4874,0.616399,0.228387,1,0,-5.03826,-2.48594,1.56666,0.693476,1.27447,1.45551
-84.4704,0.987889,0.151552,1,0,-4.96198,-2.89271,-0.27292,1.26623,-0.8625,-1.16715
-84.8648,0.708546,0.242691,1,0,-4.74565,-3.2667,1.31968,0.0606762,-0.523977,-1.59452
-84.9103,0.564982,0.200781,1,0,-4.74734,-2.88018,-1.32706,-1.91458,5.15998,1.6845
-84.8098,0.9922,0.119229,1,0,-4.74279,-2.96743,0.589748,0.559402,4.03643,1.09244
-84.7743,0.991876,0.1913,0,0,-4.77163,-2.89545,0.554107,-0.258624,4.21688,1.23005
-84.7743,0.0568851,0.304818,0,0,-4.77163,-2.89545,-1.22226,-1.33247,4.21688,1.23005
-85.4013,0.988617,0.0571695,3,0,-5.31744,-2.68988,-0.877426,0.964838,-6.51721,-2.67001
-84.9052,1,0.0905552,1,0,-5.24277,-2.65814,-0.915176,-0.371068,-4.84503,-1.79511
-84.7627,1,0.146309,1,0,-5.22994,-2.60023,-0.390415,-0.47898,-4.13847,-1.13737
-84.5105,0.938513,0.234974,1,0,-4.87702,-2.95224,1.4379,-1.42458,0.54513,-0.625377
-85.1153,0.979437,0.327175,2,0,-5.19415,-2.19767,-0.258816,0.510865,-0.761392,3.50185
-85.1153,0.0340182,0.496717,2,0,-5.19415,-2.19767,-0.335902,1.27302,-0.761392,3.50185
-85.3162,0.962859,0.0937403,2,0,-5.05233,-2.18541,1.37205,-0.0762646,3.00473,4.41795
-85.3762,0.987657,0.137552,2,0,-5.05321,-3.12143,0.52569,-0.933945,-5.47057,-4.22116
-84.8664,1,0.212054,0,0,-4.98353,-3.0653,0.687055,0.573368,-3.38088,-2.91125
-84.5136,1,0.334052,1,0,-4.88299,-2.76858,-0.142197,0.763961,2.65329,0.744045
-84.409,0.333736,0.523483,0,1,-5.10002,-2.57812,0.138441,-0.335024,-1.05499,0.110053
-85.2488,0.79942,0.196406,1,0,-4.67224,-2.93276,-0.429651,-1.47069,6.72444,2.41972
-85.9095,0.913403,0.20048,1,0,-5.27696,-2.91112,-0.354625,0.798421,-7.55889,-4.46625
-85.9095,0.368057,0.260323,0,0,-5.27696,-2.91112,1.01283,2.12727,-7.55889,-4.46625
-85.015,1,0.107057,2,0,-4.84913,-2.56061,-0.978928,-0.855301,6.00697,2.64317
-85.4508,0.97271,0.166677,1,0,-5.05977,-3.13026,0.122877,1.27305,-5.69686,-4.37566
-84.8159,0.972824,0.243995,1,0,-4.77459,-3.226,1.24648,-0.193471,-0.636539,-1.63059
-84.8159,0.400166,0.355799,0,0,-4.77459,-3.226,0.582985,-0.125745,-0.636539,-1.63059
-85.236,0.964708,0.158947,1,0,-4.74446,-3.42361,0.584404,-0.095994,-2.84657,-3.18425
-88.0749,0.653725,0.227533,3,0,-0.654889,-7.14787,1.91957,-0.0808492,4.46681,6.13808
-87.4476,0.980043,0.172183,0,0,-0.835549,-7.29944,0.975359,0.733291,-0.858024,-1.70733
-87.2656,0.987391,0.253188,2,0,-1.26069,-6.94058,0.23853,-0.548259,-0.25609,-0.686842
-87.2656,0.117127,0.376369,1,1,-1.26069,-6.94058,0.669964,-1.11987,-0.25609,-0.686842
-87.2659,0.999969,0.0971424,2,0,-1.25435,-6.94323,-0.0588022,-0.0547911,-0.206628,-0.626085
