# Samples Generated by Stan
# stan_version_major=2
# stan_version_minor=1
# stan_version_patch=0
# init=random
# seed=385583929
# chain_id=3
# iter=1000
# warmup=500
# save_warmup=1
# thin=1
# refresh=100
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.8
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=10
# sampler_t=NUTS(diag_e)
# diagnostic_file=./diagnostic_file.dat_3.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_divergent__,alpha,beta,p_alpha,p_beta,g_alpha,g_beta
-86.8836,7.71189e-24,0.447479,0,0,-3.04447,-5.38959,1.12172,0.0481611,-2.32989,-2.71121
-87.0876,0.985342,0.0726998,1,0,-3.14048,-5.36275,0.00148786,-0.599552,-3.84084,-4.18957
-87.1872,0.993297,0.114473,5,0,-3.14865,-4.95289,0.622909,-0.690928,5.99031,5.12913
-86.9001,0.97468,0.182466,2,0,-2.64502,-5.71887,1.85683,-0.362193,-0.760934,-1.11685
-86.9001,0.0150187,0.277254,1,0,-2.64502,-5.71887,-0.0496104,-2.19061,-0.760934,-1.11685
-86.3115,0.99673,0.0488377,5,0,-4.05409,-4.33503,0.895936,-1.30547,-3.07524,-3.53381
-86.407,0.998479,0.0781488,2,0,-4.03097,-4.3813,0.429511,0.0154014,-3.45056,-3.85317
-86.1833,0.973238,0.124814,1,0,-3.83883,-4.41438,1.04309,0.531749,0.466249,-0.43567
-86.4822,0.892693,0.187511,1,0,-3.7377,-4.36733,0.304498,0.431329,4.39705,2.94302
-86.5242,0.982694,0.23505,1,0,-3.96609,-4.46948,-0.260286,0.17833,-3.71567,-4.07954
-86.5242,0.0546738,0.35736,1,0,-3.96609,-4.46948,-0.623974,2.58205,-3.71567,-4.07954
-86.2298,0.992622,0.0726947,2,0,-3.78973,-4.42871,-1.21511,-0.342502,1.4278,0.416135
-86.3625,0.960345,0.113096,0,0,-3.83753,-4.53228,-0.30622,-0.768353,-2.05974,-2.60655
-86.5077,0.879056,0.163387,2,0,-4.54079,-3.9108,-1.38866,1.0282,-5.98184,-5.8225
-86.0018,1,0.197746,1,0,-4.23741,-3.68209,-0.565448,-0.690754,5.94115,3.0491
-87.1725,0.997448,0.308391,2,0,-5.36812,-1.88719,-0.167264,-0.413273,-3.56782,7.73403
-87.1725,0.112999,0.476022,0,0,-5.36812,-1.88719,0.58092,0.110347,-3.56782,7.73403
-86.3849,0.995274,0.114991,2,0,-5.52328,-2.33813,0.885237,-1.75239,-8.04049,0.108144
-85.7248,0.929245,0.176772,2,0,-4.7297,-2.62351,-0.251926,-2.52625,9.19469,3.61549
-85.7248,0.37931,0.235942,0,0,-4.7297,-2.62351,2.12777,-1.10401,9.19469,3.61549
-85.3328,0.900921,0.101189,1,0,-4.60314,-3.08793,-1.34155,-2.22977,6.38344,2.34713
-85.0325,1,0.127409,1,0,-4.64658,-3.12381,-0.623917,-0.364851,4.44142,1.30669
-86.8842,0.899816,0.195828,3,0,-5.0386,-1.93611,0.0990209,-0.212436,4.58158,7.89843
-86.8842,0.273192,0.244571,0,0,-5.0386,-1.93611,0.00510311,-2.78623,4.58158,7.89843
-90.5801,0.898991,0.0860915,1,0,-5.01621,-1.60703,-0.404731,0.799602,6.14913,14.1567
-87.4652,1,0.107524,1,0,-5.19678,-1.82185,1.09052,2.22342,0.580839,9.39101
-85.0322,0.968055,0.163936,1,0,-4.86663,-2.51576,-0.0558844,-2.85995,5.92742,2.78739
-85.221,0.994753,0.233581,1,0,-5.10234,-3.01666,0.199942,-0.541023,-5.31478,-3.79028
-84.8244,1,0.349635,1,0,-4.78422,-2.81989,-0.0579247,-0.281205,4.87323,1.61069
-84.8244,0.046409,0.526705,0,1,-4.78422,-2.81989,-0.353564,-0.260994,4.87323,1.61069
-84.4329,0.955784,0.122013,0,0,-4.95319,-2.85936,-1.36888,-0.275213,-0.261166,-0.790742
-84.7903,0.902786,0.168782,1,0,-4.7999,-3.19949,1.27063,0.192782,-0.875599,-1.74574
-85.2329,0.9314,0.21,1,0,-4.84232,-3.32896,0.182947,-0.238425,-3.66649,-3.60098
-84.4587,1,0.275556,1,0,-4.89867,-2.81014,0.951992,-0.731693,1.72987,0.239635
-84.4587,0.861945,0.411515,0,0,-4.89867,-2.81014,-0.0486735,0.171263,1.72987,0.239635
-84.4587,8.74278e-07,0.470077,0,0,-4.89867,-2.81014,-0.692825,-3.03601,1.72987,0.239635
-84.3926,0.998217,0.103746,2,0,-4.96783,-2.69237,-0.728752,1.11493,1.1988,0.390334
-85.8017,0.848351,0.154221,2,0,-5.32974,-2.78818,0.269474,-0.0631717,-7.47743,-3.72312
-86.6157,0.882551,0.172111,0,0,-5.41901,-2.80602,-0.262447,-0.288607,-9.07669,-4.55801
