# Samples Generated by Stan
# stan_version_major=2
# stan_version_minor=1
# stan_version_patch=0
# init=random
# seed=385583929
# chain_id=4
# iter=1000
# warmup=500
# save_warmup=1
# thin=1
# refresh=100
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.8
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=10
# sampler_t=NUTS(diag_e)
# diagnostic_file=./diagnostic_file.dat_4.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_divergent__,alpha,beta,p_alpha,p_beta,g_alpha,g_beta
-383.998,1,0.0625,0,0,-2.53346,-0.703224,-46.5046,-0.192149,315.652,37.9804
-383.998,0,14.3855,-1,1,-2.53346,-0.703224,1.15944,1.62863,315.652,37.9804
-383.998,0,2.43117,-1,1,-2.53346,-0.703224,2.69083,-0.715791,315.652,37.9804
-383.998,8.24952e-207,0.239791,1,0,-2.53346,-0.703224,0.509386,2.69781,315.652,37.9804
-369.007,1,0.0186273,0,0,-2.5821,-0.702714,-5.42076,-0.326209,301.676,37.9689
-343.129,1,0.0257257,1,0,-2.67347,-0.688719,-7.11098,0.0520803,276.698,38.2426
-192.628,1,0.0404064,2,0,-3.4197,-0.835182,16.4762,3.26067,127.342,34.4924
-158.935,1,0.0687243,0,0,-3.67932,-0.993972,-7.0006,-3.35548,93.7931,30.4093
-115.706,1,0.122801,0,0,-4.29984,-1.11374,7.48769,2.62981,39.6511,26.9466
-88.3329,1,0.226075,1,0,-5.31208,-1.74386,4.24814,3.9959,-2.0286,10.6929
-86.8182,0.76597,0.423292,0,0,-4.85784,-2.12667,0.923809,2.22934,9.43523,6.26028
-86.8182,0.284574,0.381518,0,0,-4.85784,-2.12667,1.26793,-1.3611,9.43523,6.26028
-87.7861,0.990272,0.0760064,2,0,-4.84688,-2.00402,-0.756933,0.228915,10.5274,7.77617
-84.4123,1,0.141026,1,0,-5.10179,-2.56822,1.33766,2.35199,-1.01431,0.184515
-85.3736,0.934488,0.269333,1,0,-5.22475,-2.13793,0.302048,-0.0561323,-1.20839,4.15087
-84.5945,1,0.417981,1,0,-5.01743,-2.9137,0.798855,-0.980726,-2.40562,-1.96983
-84.5945,2.77691e-105,0.790617,0,0,-5.01743,-2.9137,-0.484303,0.498067,-2.40562,-1.96983
