# Samples Generated by Stan
# stan_version_major=2
# stan_version_minor=1
# stan_version_patch=0
# init=random
# seed=385583929
# chain_id=1
# iter=1000
# warmup=500
# save_warmup=1
# thin=1
# refresh=100
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.8
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=10
# sampler_t=NUTS(diag_e)
# diagnostic_file=./diagnostic_file.dat_1.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_divergent__,alpha,beta,p_alpha,p_beta,g_alpha,g_beta
-158.874,1,0.0625,3,0,-11.1149,-1.31517,-43.564,-9.99595,-2.72702,20.5242
-158.874,0,14.3855,-1,1,-11.1149,-1.31517,1.75332,-1.33767,-2.72702,20.5242
-158.874,0,2.43117,-1,1,-11.1149,-1.31517,-0.312672,1.88973,-2.72702,20.5242
-155.138,1,0.239791,1,0,-10.3841,-2.98978,-2.2966,-0.859316,-4.37255,-13.899
-144.784,0.394433,0.324332,2,0,-9.56972,-2.43623,3.71481,2.67615,-7.42304,-5.97801
-89.1087,0.882846,0.0833848,2,0,-5.59643,-1.81052,-10.9899,0.18583,-7.70018,8.79456
-84.4056,0.967212,0.0944416,1,0,-5.04901,-2.55043,-2.26653,2.94576,0.446505,0.793667
-85.2187,0.809198,0.147101,0,0,-5.27202,-2.72746,-1.07773,-1.00575,-5.95866,-2.68862
-84.5048,0.995858,0.145372,1,0,-4.93883,-2.93695,1.56071,-0.414081,-0.818186,-1.26385
-84.5048,0.476466,0.264366,0,0,-4.93883,-2.93695,-1.42412,0.14521,-0.818186,-1.26385
-84.5471,0.993974,0.0945554,2,0,-5.10051,-2.76664,-0.195164,0.849229,-2.7684,-1.5566
-84.6736,0.974077,0.175419,0,0,-5.14687,-2.75344,0.0566269,0.239335,-3.65861,-1.8708
-84.6736,0.0196089,0.307215,0,0,-5.14687,-2.75344,-1.2393,-1.28618,-3.65861,-1.8708
-86.2924,0.99534,0.0270102,3,0,-5.41406,-2.73952,0.151503,-0.505416,-8.53277,-3.85592
-86.1227,0.999987,0.0513038,3,0,-5.40688,-2.70977,-0.500996,-0.477515,-8.21149,-3.50456
-85.4102,0.999526,0.0985582,1,0,-5.30089,-2.73144,1.26313,0.218109,-6.5271,-2.95162
-85.8295,0.878418,0.188025,1,0,-5.20359,-2.04135,1.92265,0.833817,-0.291427,5.63807
-85.4928,1,0.246038,0,0,-5.08634,-2.12806,-0.184933,0.960676,2.37052,4.94459
-85.4928,0.0104128,0.464202,0,0,-5.08634,-2.12806,-1.08969,0.511758,2.37052,4.94459
-85.84,0.999738,0.0443162,4,0,-5.20702,-2.0397,-0.566006,-0.455189,-0.369252,5.64977
-86.6142,0.961534,0.0840494,2,0,-5.52244,-2.54075,0.978812,-1.1455,-9.02258,-2.38431
-84.9681,0.985273,0.141024,2,0,-4.73717,-2.87818,2.11831,-0.595057,5.50019,1.84416
-84.9838,0.950052,0.25166,0,0,-4.78122,-2.74444,0.924703,-0.257498,5.95784,2.17713
-84.9838,0.00183246,0.401636,0,0,-4.78122,-2.74444,-0.285659,-1.4328,5.95784,2.17713
-86.5292,0.97882,0.0413829,3,0,-4.74007,-2.40744,1.81229,-0.393521,11.3093,4.84086
-84.4559,1,0.0722872,2,0,-4.92641,-2.70419,1.48813,1.6259,2.18623,0.740329
-84.53,0.965887,0.132851,2,0,-5.13294,-2.43476,-0.820762,-0.606834,-0.727595,1.20602
-85.4662,0.802634,0.21961,0,0,-5.37625,-2.53866,0.387559,0.30711,-6.56044,-1.51196
-86.7117,0.90631,0.22848,1,0,-5.51327,-2.60705,0.457221,0.0528084,-9.2515,-3.08225
-84.5345,0.810994,0.316321,0,0,-4.98835,-2.51434,-1.28384,-0.0337915,2.37477,1.63952
-84.97,0.983584,0.335507,1,0,-5.28113,-2.33401,0.267202,-0.406332,-3.4683,1.36138
-84.97,2.5697e-38,0.568105,0,0,-5.28113,-2.33401,0.911243,1.5979,-3.4683,1.36138
-85.1194,0.996366,0.0674106,2,0,-5.32461,-2.35538,0.493586,0.34626,-4.49182,0.867283
-85.104,0.98873,0.118632,1,0,-5.32317,-2.49651,0.656162,-0.540398,-5.29665,-0.722658
-85.2588,0.934589,0.202725,1,0,-4.7372,-2.75097,-1.17715,0.253494,7.2745,2.71567
-84.4819,1,0.297888,0,0,-4.89758,-2.76178,-0.885189,-0.12931,2.32852,0.624494
-84.4819,0.0451927,0.515988,0,0,-4.89758,-2.76178,-0.0571095,0.576648,2.32852,0.624494
-84.8938,0.998273,0.0748423,3,0,-4.83784,-3.22167,0.596976,-0.306838,-2.093,-2.48881
-84.6515,0.958128,0.12932,1,0,-5.08302,-2.85166,0.247488,1.5998,-3.21679,-2.12572
-84.4101,1,0.200018,1,0,-4.95502,-2.69236,-0.399705,-0.498447,1.53913,0.524911
-84.4101,0.00128896,0.341646,0,0,-4.95502,-2.69236,-1.51598,-1.06198,1.53913,0.524911
-85.5237,0.991214,0.047147,3,0,-5.39628,-2.47945,0.519858,-0.820808,-6.56728,-0.977064
-84.8477,0.999604,0.0789821,2,0,-5.24549,-2.61398,-1.31258,0.38454,-4.56201,-1.38864
-84.4156,0.962499,0.134058,0,0,-5.07576,-2.53079,1.27033,0.570916,-0.0626024,0.740402
-84.7591,0.963353,0.206112,2,0,-4.83646,-3.16136,0.211574,-0.822155,-1.22884,-1.90404
-84.7591,0.672393,0.315578,0,0,-4.83646,-3.16136,0.281955,0.337573,-1.22884,-1.90404
-86.3292,0.795643,0.237345,1,0,-4.21757,-3.62979,-0.134969,0.728987,7.79165,4.26692
-86.474,1,0.241032,2,0,-5.45983,-2.0798,0.286747,-0.120934,-5.93897,4.12228
-86.474,5.5115e-06,0.398707,0,0,-5.45983,-2.0798,-1.63734,0.638369,-5.93897,4.12228
-86.7356,0.999262,0.0610517,2,0,-5.43205,-1.99447,-0.559255,-0.374529,-5.15007,5.63312
-87.6823,0.973581,0.101034,1,0,-5.52251,-1.92712,0.213962,-0.336982,-6.65968,6.61746
-87.8217,0.987967,0.156373,0,0,-5.57671,-1.96753,0.254334,-0.707124,-7.68563,5.73875
-87.1279,1,0.248798,0,0,-5.29029,-1.86659,-1.37506,0.628465,-1.79943,8.31351
-84.6789,0.423882,0.404525,0,0,-5.10483,-2.83037,1.16225,-1.94637,-3.47958,-2.1562
-84.884,0.911376,0.174072,1,0,-4.67906,-3.15495,0.932281,1.24469,2.98895,0.499746
-84.884,0.0503346,0.230253,0,0,-4.67906,-3.15495,-1.76225,-1.35363,2.98895,0.499746
-85.1784,0.993038,0.043065,4,0,-4.80167,-2.61333,-0.535347,0.892822,6.92227,2.80801
-84.5079,0.99252,0.0688108,1,0,-5.1164,-2.70711,-1.5446,-0.458263,-2.56972,-1.18201
-84.4025,0.999963,0.109177,2,0,-5.09286,-2.61859,-0.29821,-0.46211,-1.23264,-0.189461
-85.1924,0.959961,0.175111,2,0,-4.70482,-3.44268,0.201164,-0.941792,-2.2264,-2.79013
-85.1924,0.0234141,0.25559,1,0,-4.70482,-3.44268,-2.45545,-0.914114,-2.2264,-2.79013
-84.9047,0.999507,0.0473078,3,0,-4.73774,-3.2936,-0.261412,-0.899237,-0.734776,-1.74104
-84.5054,0.988853,0.0755128,3,0,-4.9559,-2.92496,1.30233,-0.413159,-1.09065,-1.36586
-84.4536,0.994131,0.11712,0,0,-4.91024,-2.88211,0.357068,0.393327,0.560662,-0.468452
-84.5047,0.998273,0.182794,1,0,-4.91618,-2.94858,0.0381225,0.00376473,-0.401148,-1.08614
-84.5047,0.571277,0.286365,0,0,-4.91618,-2.94858,-1.31314,-0.179526,-0.401148,-1.08614
-86.4177,0.638358,0.179139,0,0,-5.2392,-3.07106,1.05669,0.179267,-8.33438,-5.6317
-86.7171,0.978728,0.129901,2,0,-5.5252,-2.57105,-1.1395,0.0223168,-9.23033,-2.74589
-85.5042,1,0.194121,1,0,-4.70961,-2.74068,-1.68992,0.579955,8.3277,3.15932
-84.3772,1,0.302009,2,0,-4.98544,-2.75089,-0.93957,0.281975,0.127754,-0.265685
-84.3772,0.00089477,0.467585,0,0,-4.98544,-2.75089,-0.841,-0.440631,0.127754,-0.265685
-85.6722,0.929873,0.0901342,1,0,-5.20532,-2.97384,0.728765,0.920753,-6.84648,-4.41231
-86.6428,0.959872,0.120888,1,0,-5.20831,-3.15383,0.494986,-1.11882,-8.59907,-6.12206
